Nom de l'offre touristique;SyndicObjectID;Type de l'offre;Catégorie de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;widget pour zoover;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Types d'équipements locatifs sur le camping;Services proposés sur place;Naturisme;Nombre emplacements pour les campings;Nombre emplacements pour les campings car;Nombre emplacements équipés avec locatif pour les campings;Nombre emplacements nus pour les campings;Nombre emplacements résidentiels pour les campings;Nombre emplacements saisonniers pour les campings;Surface en hectares;Groupe accepté: oui / non;Labels;Chaînes;Classements préfectoral;Langues parlées à l'accueil;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Nom du contact/Tel contact/mail contact;Nom centrale de réservation en ligne;Moyen(s) de réservation en ligne;Tarifs;Modes de paiement acceptés;localisation;departement
Camping du Lac;HPAPDL044000140;Camp de tourisme;2 étoiles;;;Route du Lac;Pôle de Loisirs du Lac;44260;SAVENAY;44195;47.35608;-1.92153;Gare SNCF||gare de savenay||3,Route (nationale/départ.)||N171 Nantes et N165 St NAZAIRE||2,Aéroport/aérodrome||Aéroport Nantes||30;;02 40 58 31 76;;;http://www.camping-lac-savenay.fr;;||http://www.camping-lac-savenay.fr,Facebook||https://www.facebook.com/pages/Camping-Du-Lac-De-Savenay/425511400872242?fref=ts;;;;oui;tatoués vaccinés et carnet de santé;;non;;Piscine,Tennis,WiFi;Cabane,Mobil-Home;Location/prêt de vélo,Snack/Restaurant;non;83;;20;63;;;2,33;oui;;;;Anglais,Français;non;non;;Madame LE CORZE Stéphanie||02 40 58 31 76||contact@camping-lac-savenay.fr;;;Locatif / semaine||||||Tarif  tout compris (hors taxe de séjour) pour 4 personnes maximum.,Taxe de séjour / nuit / pers||||||Personne + 18ans;Chèques bancaires et postaux,Chèques Vacances;47.35608, -1.92153;Loire-Atlantique
Le Port Meleu;HPAPDL044000112;Camp de tourisme;3 étoiles;;;Corniche de Port-Meleu;;44770;PREFAILLES;44136;47.12547;-2.20339;Transport en commun||PREFAILLES||0,8,Gare SNCF||Gare Pornic SNCF||10,Aéroport/aérodrome||Nantes Atlantique||50;07 56 22 18 46;02 40 21 62 91;;;https://meleucamp.com/;;Facebook||https://www.facebook.com/Campingleportmeleu,Foursquare||http://4sq.com/15M7fh3,Google+||https://plus.google.com/+MeleucampFr/,Zoover||http://www.zoover.fr/france/pays-de-la-loire/prefailles-loire-atlantique/port-meleu/camping;;;;oui;;;non;;Piscine,WiFi;Mobil-Home,Tente;Commerce alimentaire,Snack/Restaurant;non;90;;20;4;65;5;2;;;;;Anglais;non;;04/04/2025||30/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.12547, -2.20339;Loire-Atlantique
Camping municipal La Coletterie;HPAPDL044000122;Camp de tourisme;3 étoiles;12 bis, Rue de Tivoli;;;;44360;SAINT-ETIENNE-DE-MONTLUC;44158;47.2790537;-1.7789976;Transport en commun||||20;;02 40 86 97 44;;;https://www.st-etienne-montluc.net/mes-loisirs/tourisme/camping-municipal-2933.html;;;;;;oui;;;non;;;;;;57;;;;;;;;;;;;non;oui;||||||sauf du 1er au 31 Octobre ||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances;47.2790537, -1.7789976;Loire-Atlantique
Camping Municipal - Le Clein;HPAELECLEIN;Camp de tourisme;2 étoiles;;;22 avenue de Kerdun;;44510;LE POULIGUEN;44135;47.27121;-2.43039;;06 08 15 09 94;02 40 42 43 99;;;https://campings.lepouliguen.fr/les-campings/le-clein/;;;;;;oui;;;non;;WiFi;Caravanes,Tente;;;110;26;;110;;;1,5;;;;;Anglais,Espagnol;;;28/03/2025||03/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.27121, -2.43039;Loire-Atlantique
Camping La Boutinardière;HPAEBOUTINARDI;Camp de tourisme;4 étoiles;;;23 rue de la plage de la Boutinardière;;44210;PORNIC;44131;47.09791;-2.05177;;;02 40 82 05 68;;;http://www.camping-boutinardiere.com/;;;;;;oui;Hors catégorie 1 et 2;;non;;Espace aqua-ludique,Espace Bien-être,Piscine,Piscine couverte,Salle de sport,WiFi;Mobil-Home,Tente;Commerce alimentaire,Location/prêt de vélo,Snack/Restaurant;;380;10;285;69;27;;7;;;Airotels de France;;Allemand,Anglais,Espagnol,Néerlandais;;;04/04/2025||29/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.09791, -2.05177;Loire-Atlantique
Camping Municipal - Les Mouettes;HPAELESMOUETTES;Camp de tourisme;2 étoiles;;;45 boulevard de l'Atlantique;;44510;LE POULIGUEN;44135;47.26382;-2.44905;;06 08 15 03 88;02 40 42 43 98;;;https://campings.lepouliguen.fr/les-campings/les-mouettes/;;;;;;oui;;;non;;WiFi;Caravanes,Tente;;;200;;;200;;;;;;;;Anglais,Espagnol;;;28/03/2025||03/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.26382, -2.44905;Loire-Atlantique
Camping - de la Baie;HPAELABAIE;Camp de tourisme;4 étoiles;;;Keravélo;Pen Bé;44410;ASSERAC;44006;47.42331;-2.44633;;;02 40 01 71 16;;;https://www.camping-delabaie.com/;;;;;;oui;;;non;;Piscine couverte,WiFi;Bungatoile,Mobil-Home;;;137;;51;33;;;3;;;;;Anglais,Espagnol;;;04/04/2025||28/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,04/04/2026||26/09/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.42331, -2.44633;Loire-Atlantique
Camping - Le Deffay;HPAELEDEFFAY;Camp de tourisme;3 étoiles;;;Le Deffay;;44160;SAINTE-REINE-DE-BRETAGNE;44189;47.44131;-2.15991;;;02 40 88 00 57;;;http://www.camping-le-deffay.com;;;;;;oui;;;non;;;Bungatoile,Mobil-Home;;;135;70;20;70;;;;;;;;Anglais;;;04/04/2025||02/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.44131, -2.15991;Loire-Atlantique
BIVOUAC AU SWIN-GOLF;HPAPDL044V51J9XL;Aire naturelle;;;;Les Grées;;44660;ROUGE;44146;47.7863388;-1.4383851;;06 63 95 88 14;;;;http://www.swinconcept.com/;;;;;;;;;non;;;;;;;;;;;;;;;;;Anglais,Espagnol,Français;;oui;;;;;||7,00||||;;47.7863388, -1.4383851;Loire-Atlantique
Camping - Le Clos des Bruyères;HPAELECLOSDESBRUYERES;Camp de tourisme;;;;Longle;;44410;HERBIGNAC;44072;47.43707;-2.31343;;;02 40 88 95 92;;;;;;;;;oui;;;non;;;;;;15;;;15;;;;;;;;;;;;;;;;;47.43707, -2.31343;Loire-Atlantique
L'étoile;HPAHPAESHETOILE;Camp de tourisme;1 étoile;;;Place Eloi Guitteny;;44680;SAINT-HILAIRE-DE-CHALEONS;44164;47.1046;-1.86662;;06 30 08 42 00;;;;http://www.saint-hilaire-de-chaleons.fr/hebergement.php?id=47&titre=Camping;;;;;;oui;;;non;;;;;;;;;35;;;;;;;;;;;;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.1046, -1.86662;Loire-Atlantique
Le Hameau du Littoral;HPAHPAPDL044V5007YN;Camp de tourisme;Non Classé;;;Route du Bois des Tréans;;44760;LES MOUTIERS-EN-RETZ;44106;47.07176;-2.00846;;06 74 00 55 54;02 40 27 65 83;;;http://www.proprietairesurlacote.com;;;;;;;;;non;;Piscine;;;;;;;;30;;0,9;;;;;;;;;;;;;;47.07176, -2.00846;Loire-Atlantique
Camping - Flower Camping Les Paludiers;HPAEPALUDIERS;Camp de tourisme;4 étoiles;;;Rue Appert;;44740;BATZ-SUR-MER;44010;47.27806;-2.49003;;;02 40 60 17 28;02 40 60 17 24;;http://www.camping-paludiers.com;;;;;;oui;;;non;;Piscine,Piscine couverte,WiFi;Bungatoile,Mobil-Home;;;286;53;155;120;;;7,5;;Clef Verte,Qualité Tourisme;;;Anglais,Espagnol;;;;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||19,00||37,00||,Locatif / semaine||266,00||1155,00||;Cartes bancaires,Chèques Vacances,Espèces,Virement;47.27806, -2.49003;Loire-Atlantique
Camping - La Pierre Longue;HPAEPIERRELONGUE;Camp de tourisme;4 étoiles;;;Rue Henri Dunant;;44490;LE CROISIC;44049;47.29223;-2.52309;;;02 40 23 13 44;02 40 23 23 13;;http://www.campinglapierrelongue.com;;;;;;oui;;;non;V45-Vélocéan Nord Loire;WiFi;Caravanes,Mobil-Home;;;158;;27;55;;;;;Accueil Vélo;;;Anglais;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Virement;47.29223, -2.52309;Loire-Atlantique
LA CALE SAUVAGE;HPAPDL044000026;Camp de tourisme;2 étoiles;;;Square de la Chaussée;Le Migron;44320;FROSSAY;44061;47.25741;-1.91339;Aéroport/aérodrome||Nantes Atlantique||35,Transport en commun||Réseau Lila||0,2,Gare SNCF||Saint Nazaire||31;;02 40 39 45 64;;;https://www.la-cale-sauvage.com/;;;;;;oui;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;;Caravanes,Tente;Snack/Restaurant;non;;;6;40;;;;;Accueil Vélo,La Loire à vélo,La Vélodyssée;;;Anglais;non;;26/04/2024||30/09/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mairie de Frossay||02 40 39 72 72||mairie@frossay.fr;;;;Cartes bancaires,Chèques Vacances,Espèces;47.25741, -1.91339;Loire-Atlantique
CAMPING CAPFUN L'EVE;HPAPDL044000136;Camp de tourisme;4 étoiles;;;51 Route du Fort de l'Eve;;44600;SAINT-NAZAIRE;44184;47.241616;-2.267575;Gare SNCF||Gare SNCF Saint-Nazaire||8,Transport en commun||Ligne U3 - Arrêt : Fort de l'Eve||0,23;;02 40 91 99 11;;;https://www.capfun.com/camping-france-pays_de_la_loire-l_eve-FR.html;;Facebook||https://www.facebook.com/campingeve/;;;;oui;Animaux acceptés;;non;;Borne de recharge pour véhicules électriques,Défibrillateur,Espace aqua-ludique,Piscine,Piscine couverte,Salle de sport,Tennis,WiFi;Caravanes,Mobil-Home,Tente;Commerce alimentaire,Location/prêt de vélo,Snack/Restaurant;non;275;;179;50;50;;7;oui;;;;Anglais,Français;non;non;;;||||||02 40 23 57 80||eve@capfun.com;non;;Cartes bancaires,Chèques Vacances,Espèces;47.241616, -2.267575;Loire-Atlantique
Eden Villages La Pointe Saint-Gildas;HPAPDL044000154;Camp de tourisme;3 étoiles;;;Chemin du Port aux ânes;;44770;PREFAILLES;44136;47.13792;-2.22222;Gare SNCF||PORNIC||10;;02 40 21 52 05;;;https://www.eden-villages.fr/campings/la-pointe-saint-gildas/;;;;;;oui;;;non;;Piscine,WiFi;Mobil-Home;Commerce alimentaire,Snack/Restaurant;non;231;40;32;20;174;171;8;;Clef Verte;;;Anglais,Espagnol;;;04/04/2025||21/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.13792, -2.22222;Loire-Atlantique
CAMPING DU PORT MULON ***;HPAPDL044000080;Camp de tourisme;3 étoiles;;Le Port Mulon;Rue des Mares Noires;;44390;NORT-SUR-ERDRE;44110;47.428353;-1.4975891;Halte fluviale||Le Port Nort sur Erdre||1,Aéroport/aérodrome||Nantes-Atlantique||30,Gare SNCF||Station Nort sur Erdre||1;02 36 74 82 37;;;;https://www.night-and-day.fr/camping/35-camping-du-port-mulon;;Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g2544622-d4567541-Reviews-Camping_Port_Mulon-Nort_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html;;;http://www.tripadvisor.fr/Hotel_Review-g2544622-d4567541-Reviews-Camping_Port_Mulon-Nort_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html;oui;2 €/ jour et 5 € en mobilhome;;non;EV1-La Vélodyssée,Régalante;WiFi;Bungatoile,Chalet,Mobil-Home;;non;100;14;15;90;;;2,5;oui;Accueil Vélo,Camping Qualité,La Vélodyssée,Qualité Tourisme,Rando Accueil;;;Anglais,Français;non;non;;||||campingnortsurerdre@night-day.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.428353, -1.4975891;Loire-Atlantique
Camping de l'Hermitage;HPAPDL044000028;Camp de tourisme;3 étoiles;;;46 avenue du Paradis;;44290;GUEMENE-PENFAO;44067;47.6263498;-1.8209083;Route (nationale/départ.)||D775||0,5;;02 40 79 23 48;;;www.campinglhermitage.com;;||https://www.facebook.com/Camping-de-lHermitage-101245881485536/;;;;oui;;;non;;Espace aqua-ludique,Piscine,Prise électrique,Tennis,WiFi;Chalet,Mobil-Home,Tente;;non;90;;32;52;;;2,8;oui;;;;Anglais,Français;non;non;;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||||||;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.6263498, -1.8209083;Loire-Atlantique
Camping - Le Praderoi;HPAELEPRADEROI;Camp de tourisme;3 étoiles;;;14 allée des Barges;Quimiac;44420;MESQUER;44097;47.40506;-2.48923;;06 76 81 84 18;02 40 42 66 72;;;http://www.camping-praderoi.com;;;;;;oui;;;non;;WiFi;Bungatoile,Caravanes,Mobil-Home,Roulotte,Tente;;;32;10;8;25;;;;;;;;Anglais;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Virement;47.40506, -2.48923;Loire-Atlantique
Camping - Le Beaupré;HPAELEBEAUPRE;Camp de tourisme;3 étoiles;;;141 Route de Kervarin;Kercabellec;44420;MESQUER;44097;47.40931;-2.4626;;;02 40 42 64 16;02 40 42 64 16;;http://www.lebeaupre.com;;;;;;oui;;;non;V45-Vélocéan Nord Loire;WiFi;Mobil-Home;;;43;25;18;25;;;;;;;;Anglais;;;01/04/2025||28/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.40931, -2.4626;Loire-Atlantique
Camping - Le Prad'Heol;HPAELEPRADHEOL;Camp de tourisme;3 étoiles;;;180 rue du Moulin à Eau;Quimiac;44420;MESQUER;44097;47.40159;-2.48346;;06 88 35 05 38;02 40 15 34 21;;;http://www.camping-labaule.fr;;;;;;oui;;;;;Espace aqua-ludique,Piscine couverte,WiFi;Mobil-Home;;;69;;20;;;;;;Qualité Tourisme;;;;;;01/04/2025||02/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.40159, -2.48346;Loire-Atlantique
Camping de la Prée;HPAPDL044V507V64;Camp de tourisme;2 étoiles;;;2 Chemin de la Prée;;44770;PREFAILLES;44136;47.14379;-2.22827;;;02 40 21 02 64;;;http://www.camping-prefailles.fr/index.php/fr/;;;;;;oui;;;non;;WiFi;Mobil-Home,Tente;Commerce alimentaire,Snack/Restaurant;non;;;16;20;;;;;;;;Anglais,Espagnol;;;29/03/2024||15/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.14379, -2.22827;Loire-Atlantique
Le Bugeau ***;HPAEBUGEAU;Camp de tourisme;3 étoiles;;;33 avenue des Loriettes;;44380;PORNICHET;44132;47.25242;-2.31857;;;02 40 61 02 02;;;http://www.campingdubugeau.com;;;;;;oui;Infos complémentaires :;;non;;WiFi;Mobil-Home;;;108;;11;46;;;21;;;;;Anglais;;;10/04/2026||04/10/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Locatif / semaine||315,00||810,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.25242, -2.31857;Loire-Atlantique
GCU Camping participatif;HPAEHEBC009;Camp de tourisme;2 étoiles;;;38 Avenue des Bleuets;;44380;PORNICHET;44132;47.24707;-2.31229;;06 73 02 53 60;02 40 61 25 75;;;http://www.gcu.asso.fr;;;;;;oui;Infos complémentaires :;;non;;WiFi;;;;77;;;;;;1,4;;;;;;;oui;16/05/2025||31/08/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.24707, -2.31229;Loire-Atlantique
Camping du Golf;HPAEEGOLF;Camp de tourisme;3 étoiles;;;40 rue de la Renaissance;Sainte Marie sur Mer;44210;PORNIC;44131;47.11883;-2.12987;;;02 40 82 46 17;;;http://www.campingdugolf.fr;;;;;;oui;;;non;;Piscine,WiFi;Mobil-Home;Snack/Restaurant;;99;;25;26;48;;1,5;;;;;Allemand,Anglais,Italien;;;11/04/2025||14/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Espèces;47.11883, -2.12987;Loire-Atlantique
AIRE DE CAMPING LE BRIORD;HPAHPAEAIREDECAMPINGLEBRIORD;Aire naturelle;Non Classé;;;Chemin de Briord;;44250;SAINT-BREVIN-LES-PINS;44154;47.24744;-2.15393;;06 38 63 29 34;06 79 47 04 18;;;;;;;;;oui;Carnet de vaccination à jour, chiens de catégorie 1 et 2 non autorisés;;;;;;;;;;;6;;;;;;;;Anglais;;;01/06/2024||31/08/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||10,00||12,00||,Taxe de séjour / nuit / pers||0,22||0,20||,Tarif adulte supplémentaire / nuit||3,00||5,00||;Espèces;47.24744, -2.15393;Loire-Atlantique
Camping - Ajoncs d'Or;HPAEAJONCSDOR;Camp de tourisme;4 étoiles;;;Chemin du Rocher;;44500;LA BAULE-ESCOUBLAC;44055;47.29367;-2.379;;;02 40 60 33 29;02 40 24 44 37;;https://www.ajoncs.com;;;;;;oui;;;non;;Espace aqua-ludique,Piscine,Piscine couverte,WiFi;Mobil-Home;;;220;;220;0;;;;;;;;Anglais;;;05/04/2025||14/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Taxe de séjour / nuit / pers||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.29367, -2.379;Loire-Atlantique
Aire naturelle Le Pas Moreau;HPAHPAPDL044000001;Aire naturelle;Non Classé;;;Le Pas Moreau;Arthon en Retz;44320;CHAUMES-EN-RETZ;44005;47.13826;-1.94428;;;06 76 82 06 02;;;;;;;;;;;;;;;;;;;5;10;15;;;1;;;;;;;;;;;;;Chèques bancaires et postaux,Chèques Vacances;47.13826, -1.94428;Loire-Atlantique
Camping - Le Clos Marot - Naturiste;HPAELECLOSMAROT;Camp de tourisme;2 étoiles;;;Route du Marault;;44420;PIRIAC-SUR-MER;44125;47.37704;-2.493;;07 66 15 62 85;07 66 15 62 85;;;http://www.anca-piriac.com;;;;;;oui;;;non;V45-Vélocéan Nord Loire;WiFi;Tente;;oui;58;;;;;;6;;Accueil Vélo;;;Anglais;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.37704, -2.493;Loire-Atlantique
