Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
Gite d'étape troglodytique de Saint-Pierre-en-Vaux;Gîte de groupe,Gîte d'étapes;;;10 chemin des Moulins à Vent;Saint-Georges-des-Sept-Voies;49350;GENNES-VAL-DE-LOIRE;;49261;47.332953;-0.285846;;;06 88 52 82 14;;;http://gite-troglo.fr;Facebook||https://www.facebook.com/gitetroglo/,Google+||https://maps.google.com/?cid=1962820162864879474;;;;;Local vélo,WiFi;oui;;;non;Cuisine professionnelle,Parking;;;;Anglais,Espagnol,Français;Location de draps,Option nettoyage / ménage;oui;21;2;;19;23;;oui;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||20,00||20,00||,Nuitée / hébergement||650,00||850,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50FLDF;47.332953, -0.285846;Maine-et-Loire
Gîte du Menhir;Gîte d'étapes;;;12 route du Menhir;;44160;PONTCHATEAU;;44129;47.43586;-2.1386;;;06 61 77 77 55;;;http://www.grandgitebretagnesud.fr;;;;;;WiFi;oui;;;non;Parking;;;;Allemand,Anglais;;oui;;7;;26;26;;oui;;;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLRGITEMENHIR;47.43586, -2.1386;Loire-Atlantique
Gîte du Petit Plessis;Gîte d'étapes;;;177 Route du Mans;;72230;RUAUDIN;;72260;47.9470405;0.24831031;;06 34 19 10 98;;;;;;;;;;Local vélo;;;;non;Parking,Plain pied,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage / ménage (gratuit);oui;;2;2;4;12;;oui;;;;;Nuitée / hébergement||||||tarifs pour longs séjours professionnels,  sur demande .....;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50W9CK;47.9470405, 0.24831031;Sarthe
Grande maison familiale au Domaine de la Richardière;Maison familiale;;;Chemin des Hauts;;49140;MONTREUIL-SUR-LOIR;;49216;47.6019264;-0.3944639;;06 86 21 99 92;;;;;;;;;Non classé;;oui;;;non;Parking,Salle de réception;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit);oui;;12;1;12;24;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;;;;;;;;;;HCOLLPDL049V50GA1P;47.6019264, -0.3944639;Maine-et-Loire
Gîte de Vandoeuvre;Gîte de groupe,Gîte d'étapes;;;Gîte Vandoeuvre;;72130;SAINT-LEONARD-DES-BOIS;;72294;48.3525035;-0.0767307;;;06 83 13 89 92;;;www.gite-de-vandoeuvre.fr;;;;;;Local vélo,WiFi;oui;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;Fédération des Relais d'Etape de Tourisme Equestre (FRETE),Gîtes de France;En cours de classement;;Français;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;6;18;;78;80;non;oui;;Mme DESNOS||02 43 97 28 15||contact@gite-de-vandoeuvre.fr;;;Nuitée / pers||27,00||||,Petit-déjeuner / pers||8,00||||,Forfait location privative de l'hébergement||1250,00||3500,00||Location pour le week-end, du vendredi 16h au dimanche 16h - Petite salle + 30 couchages : 1250€ / grande salle + 50 couchages : 2500€ / gîte complet (2 salles + cuisine + 80 couchages) : 3500€;Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;;;;;;;;;;;HCOLLPDL072V500289;48.3525035, -0.0767307;Sarthe
LE LOGIS DE LA CHANVRIERE;Gîte de groupe,Gîte d'étapes;;;La Maladrie;;72600;SAINT-REMY-DES-MONTS;;72316;48.324989;0.387998;;;;;;;;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de draps,Location de linge,Option nettoyage / ménage;oui;;3;1;7;14;;oui;;TESSIER||02 43 34 24 38||didier6203@gmail.com;;;Forfait location privative de l'hébergement||1040,00||1040,00||Tarif pour la salle seule (70 pers) : 550,Tarif pour la salle + chambres : 850€;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL072V507IV9;48.324989, 0.387998;Sarthe
Gîte AbriLoire;Gîte de groupe;;;Les Landes;;44370;LOIREAUXENCE;;44213;47.4254469;-1.0183777;;06 08 75 48 41;;;;;;;;;;Borne de recharge pour véhicules électriques,Climatisation,Espace bien-être,WiFi;non;;;non;Terrain clos;Gîtes de France;4 épis;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit);oui;;6;1;9;15;;oui;;Monsieur Savary||06 08 75 48 41||;oui;Gîtes de France||https://www.gites-de-france-loire-atlantique.com/fr/location/locations-gites-loireauxence-abriloire-h44g027395||||02 51 72 95 65||info@info@gites-de-france-44.gites-de-france-44.fr;;Cartes bancaires,Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL044V51FHB5;47.4254469, -1.0183777;Loire-Atlantique
Le Pontaubeau;Gîte de groupe;;;Lieu-dit Pontaubeau;;72170;VIVOIN;;72380;48.24953;0.18479;;06 18 60 42 35;;;;https://www.lepontaubeau.fr/;Instagram||https://www.instagram.com/lepontaubeau/;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Allemand,Anglais,Français;Option nettoyage / ménage;oui;;7;;26;34;non;oui;;M. TRUFFAUT||06 18 60 42 35||lepontaubeau@gmail.com;;;Forfait location privative de l'hébergement||1400,00||4200,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V502HXK;48.24953, 0.18479;Sarthe
GITE DE L'ÉCOLE;Maison familiale;;Ancienne école;Bourg;;53150;LIVET;;53134;48.1076797;-0.4585712;;;02 43 67 09 07;;;;;;;;3 étoiles;WiFi;oui;;;non;Terrain clos;Gîtes de France;3 épis;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage;oui;;5;1;9;10;;oui;;;oui;Gîtes de France||https://www.gites-de-france-mayenne.com/fr/location/locations-gites-livet-le-gite-de-l-ecole-h53g022832?capacity=1||||02 43 67 09 07||;Forfait location privative de l'hébergement||736,00||||Location à la semaine,Nuitée / hébergement||563,00||||;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL053V509C5P;48.1076797, -0.4585712;Mayenne
Gîte de groupe Les Petites Moulines;Gîte de groupe;LES PETITES MOULINES;;;;72550;DEGRE;;72113;48.05628;0.08786167;;06 22 03 51 65;;;;http://www.petites-moulines.fr/;Facebook||https://www.facebook.com/Les-Petites-Moulines-234787594100984;;;;;;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Anglais,Français;;oui;16;11;;42;52;non;non;;Mr Fatou ||06 22 03 51 65||;;;Forfait location privative de l'hébergement||||||Week-end (basse saison),Forfait location privative de l'hébergement||||||week-end (moyenne saison),Forfait location privative de l'hébergement||||||week-end (haute saison),Nuitée / hébergement||||||Nuitée supplémentaire (jour férié);;;;;;;;;;;;HCOLLPDL072V500265;48.05628, 0.08786167;Sarthe
Domaine de Chapeau;Gîte de groupe,Maison familiale;;;Chemin du Chapeau;;72190;NEUVILLE-SUR-SARTHE;;72217;48.050731;0.211941;Autoroute||A11,A28,A81, sortie Le Mans Nord||6,Gare SNCF||TGV, Trains régionaux||8,Gare routière||||8;06 12 11 37 05;;;;http://www.domainedechapeau.com;Facebook||https://www.facebook.com/domainedechapeau/?locale=fr_FR,Instagram||https://www.instagram.com/domainedechapeau/?hl=fr;;;;;Local vélo,WiFi;;Accès PMR;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Allemand,Anglais,Espagnol,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage / ménage (gratuit),Prestation de restauration;oui;;27;3;70;180;oui;oui;;;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50JE2N;48.050731, 0.211941;Sarthe
Salle de Réception et Gite Aux Instants Partagés;Gîte de groupe;6 hameau de la tannerie;;;;72350;FONTENAY-SUR-VEGRE;;72136;47.904608;-0.219025;Gare SNCF||Gare de Sablé sur Sarthe||15,Autoroute||A11 Paris - Nantes : sorties n°9 et 10||10,Autoroute||A 81 Le Mans – Rennes : sortie n°1||14,Gare routière||https://aleop.paysdelaloire.fr/sarthe||;06 72 59 14 15;;;;http://www.aux-instants-partages.fr;Facebook||https://www.facebook.com/auxinstantspartages,Instagram||https://www.instagram.com/auxinstantspartages,Google+||https://www.google.com/auxinstantspartages;;;;;Climatisation,Espace bien-être,Local vélo,Piscine,Piscine couverte,WiFi;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de draps,Location de linge,Nettoyage / ménage (gratuit),Option nettoyage / ménage;oui;50;8;2;33;180;oui;oui;01/01/2025||31/12/2028||Merci de me conacter par téléphone 0672591415 car je ne suis pas toujours sur place||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||3700,00||4650,00||Compris dans le tarif, l'ensemble des prestations de la salle de réception taie d'oreillers te housse de draps compris et le gite avec le linge de lits et les serviettes de toilette compris,Du vendredi 14h au lundi 10h;Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50UXSZ;47.904608, -0.219025;Sarthe
GÎTE A LA FERME;Gîte de groupe;;;Lieu-dit Bernusse;SAINT-PIERRE-SUR-ORTHE;53160;VIMARTIN-SUR-ORTHE;;53249;48.22617;-0.21425;Gare SNCF||gare de Sillé-le-Guillaume||9,5;06 88 49 94 71;;;;;;;;;Non classé;;;;;non;Parking,Salle de réception,Terrain clos;;;;;;;5;3;1;10;24;;;;;;;Forfait location privative de l'hébergement||||||week-end à partir du vendredi soir;;;;;;;;;;;;HCOLLPDL053V50AE7T;48.22617, -0.21425;Mayenne
GÎTE ETAPE ÉCLUSE DE LA TINDIÈRE;Gîte d'étapes;;;5 Sobidain;;44390;NORT-SUR-ERDRE;;44110;47.4196661;-1.5359191;"Gare SNCF||Gare SNCF Nort sur Erdre ||5,Gare SNCF||Gare SNCF Nantes ||30,Autoroute||4 voies Nantes- Rennes, sortie Heric ||12,Itinéraire de randonnée||Randonnée de""vive ève""||0,Halte fluviale||Port de Nort sur Erdre ||4";06 70 04 45 09;;;;https://www.etapecanalgiteeclusedelatindiere.com/;;;;;2 étoiles;Garage,Local vélo,WiFi;non;à négocier selon l'animal de compagnie;;non;Garage,Parking,Plain pied,Terrain clos;Accueil Vélo,La Vélodyssée;;EV1-La Vélodyssée,Régalante;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage / ménage,Prestation de restauration;oui;4;3;1;9;9;non;oui;;;;;Taxe de séjour / nuit / pers||0,88||0,88||,Petit-déjeuner / pers||8,00||8,00||,Nuitée / hébergement||75,00||115,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V50CUWO;47.4196661, -1.5359191;Loire-Atlantique
Gîtes de la Charnie : La ferme domaniale des Faucheries;Gîte de groupe;;;;Les Faucheries;72350;SAINT-DENIS-D'ORQUES;;72278;48.052949;-0.2727089;Gare SNCF||Gare TGV du Mans (Sud)||40,Autoroute||A81, Sortie n°1||10,Route (nationale/départ.)||||0,Aéroport/aérodrome||||200;06 95 87 94 15;;;;http://www.gites-charnie.com;Facebook||http://goo.gl/9p5vyh,Twitter||https://twitter.com/Gites_Charnie,Google+||https://plus.google.com/107373149035785558331/about;;;;Non classé;WiFi;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Espagnol,Français;Option nettoyage / ménage,Prestation de restauration;oui;;17;1;;100;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;non;||||||06 95 87 94 15||info@gites-charnie.com;Forfait location privative de l'hébergement||1895,00||4495,00||;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL072V502CJ6;48.052949, -0.2727089;Sarthe
Gîte étape et séjour - Domaine des Mille Oiseaux : Le Grand Piaf;Gîte de groupe,Gîte d'étapes;;;Domaine des Mille Oiseaux;Domaine des Mille Oiseaux;53170;VILLIERS-CHARLEMAGNE;;53273;47.9328139;-0.6808868;Gare SNCF||Laval||18,Autoroute||A81 sortie n°2 Vaiges||24;06 95 04 76 55;;;;http://www.mille-oiseaux.com;Facebook||https://www.facebook.com/domaine.milleoiseaux,Instagram||https://www.instagram.com/domainedesmilleoiseaux/;http://youtu.be/r4ZOyNvGei8;"<iframe width=""640"" height=""360"" src=""//www.youtube.com/embed/r4ZOyNvGei8?rel=0"" frameborder=""0"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;Non classé;Défibrillateur,Local vélo,WiFi;non;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;6;4;1;20;20;;oui;;;oui;||paysdelaloire-mb-prestataire.for-system.com/z8515e3_fr-gite-7-pieces-villiers-charlemagne.aspx?Param/CodeOs=OSMB-92418-2&Globales/ListeIdFournisseur=92418||||||domaine.milleoiseaux@gmail.com;Forfait location privative de l'hébergement||||||Détail des tarifs sur www.mille-oiseaux.com;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLL873180399;47.9328139, -0.6808868;Mayenne
Gîte Le Moulin de la Quentinière;Gîte de groupe,Gîte d'étapes,Maison familiale;;;8 La Quentinière;53190;53190;DESERTINES;;53091;48.4584389;-0.890647;Gare SNCF||Laval||57,Gare routière||Fougères||31,3,Route (nationale/départ.)||D33||5,4,Autoroute||A84||39;07 83 38 71 69;;;;https://www.le-moulin-quentiniere.com/;Facebook||https://www.facebook.com/LeMoulinQ,Instagram||https://www.instagram.com/lemoulinq/?hl=fr;https://youtu.be/0bGDDihIP5k,https://www.facebook.com/LeMoulinQ/videos/754480078420627/;;;Non classé;Espace bien-être,Piscine,Piscine couverte,WiFi;non;;;non;Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit);oui;;10;2;25;25;non;non;01/03/2025||31/12/2025||Arrivée à partir de 16h, départ à 10h. Flexibilité le samedi selon les arrivées||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||www.le-moulin-quentiniere.com/faire-une-rÉservation/faire-une-rÉservation/||||||info@le-moulin-quentiniere.com;Nuitée / hébergement||450,00||||Minimum 2 nuits. Frais de ménage final obligatoire 150 €;Cartes bancaires,Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL053V504CWL;48.4584389, -0.890647;Mayenne
Gîte de groupe Domaine de l'Oiselière;Gîte de groupe;;;L'Oiselière;l'Oiselière;72230;MULSANNE;;72213;47.906869;0.243401;Gare SNCF||LE MANS SUD||12,Autoroute|| Ecommoy||10,Transport en commun||||3,Aéroport/aérodrome||||5;06 18 89 72 95;02 43 42 47 02;;;http://www.domainedeloiseliere.com/;;;;;;;;;;;Parking,Salle de réception,Terrain clos;;;;Anglais;;oui;6;5;3;16;21;;;;;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL072V50298W;47.906869, 0.243401;Sarthe
Auberge de jeunesse Le Flore;Auberge de jeunesse;;;23 rue Maupertuis;;72000;LE MANS;;72181;48.003742;0.20628968;Gare SNCF||||1,5,Autoroute||||8;;02 43 81 27 55;;;http://flore-habitatjeunes.org;;;;;Non classé;Local vélo,WiFi;non;;;non;Terrain clos;Accueil Vélo,FUAJ;;;Anglais,Français;Location de draps,Nettoyage / ménage (gratuit),Prestation de restauration;oui;;17;17;;38;oui;oui;;auberge de jeunesse le flore||02 43 81 27 55||contact@leflore.info;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;;;;;;;;;;;HCOLLPDL072V5000G8;48.003742, 0.20628968;Sarthe
GITE DE GROUPE DURAND;Gîte de groupe;;;3 l'Epinay;;44140;LE BIGNON;;44014;47.10975;-1.52314;Gare SNCF||||12;06 21 30 36 89;02 40 78 15 19;;;http://www.lacourdelepinay.fr;;;;;Non classé;WiFi;oui;;;non;Parking,Salle de réception,Terrain clos;;;;Anglais;;oui;;5;;;20;oui;oui;||||Ouvert toute l'année.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Martin DURAND||02 40 75 15 19||martin.durand@orange.fr;;;Forfait location privative de l'hébergement||||||420€ la nuitée pour 20 personnes et 760€ Le weekend.;;;;;;;;;;;;HCOLLPDL044V50056Q;47.10975, -1.52314;Loire-Atlantique
Gîte de groupe - La Métairie;Gîte de groupe;;;La Métairie;;72440;SAINT-MICHEL-DE-CHAVAIGNES;;72303;48.021736;0.564831;Gare SNCF||||9;06 70 95 74 21;;;;https://www.gitemetairie.com/;;;;;;WiFi;non;;;non;Parking,Plain pied,Salle de réception;Gîtes de France;3 épis;;;;;5;6;1;16;;;oui;||||toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;||1200,00||||;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLLPDL072V50028P;48.021736, 0.564831;Sarthe
