dataset;categorie_dataset;categorie_neutre;alias
bretagne-fetes-et-manifestations.csv;Danse#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Autres Evènements#Culturelle;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Evènement virtuel#Nature et détente#Sports et loisirs;Nature and Environment;nature
bretagne-fetes-et-manifestations.csv;Culturelle#Manifestation commerciale#Musique;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Insolite#Sports et loisirs;Sports and Leisure;sports
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite#Musique;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Danse#Musique#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Danse#Insolite#Musique;Concerts and Performances;concerts
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Autres Evènements;Community and Social Events;community
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...);Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Autres Evènements#Nature et détente;Nature and Environment;nature
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite#Musique#Nature et détente;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite#Son et Lumière;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Musique#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Autres Evènements#Culturelle#Nature et détente;Arts and Entertainment;arts
bretagne-fetes-et-manifestations.csv;Autres Evènements#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Autres Evènements;Miscellaneous Events;misc
bretagne-fetes-et-manifestations.csv;Culturelle#Musique#Son et Lumière;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Culturelle#Danse#Musique;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Insolite#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Manifestation commerciale;Community and Social Events;community
bretagne-fetes-et-manifestations.csv;Culturelle#Sports et loisirs;Sports and Leisure;sports
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Nature et détente;Nature and Environment;nature
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Religieuse;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Sports et loisirs;Sports and Leisure;sports
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite#Nature et détente;Nature and Environment;nature
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Son et Lumière;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Musique;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Manifestation commerciale#Musique#Son et Lumière#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Insolite#Musique;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Culturelle#Manifestation commerciale;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Autres Evènements#Culturelle;Community and Social Events;community
bretagne-fetes-et-manifestations.csv;Musique;Arts and Entertainment;arts
bretagne-fetes-et-manifestations.csv;Culturelle#Danse;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Insolite#Manifestation commerciale;Marketing and Advertising;marketing
bretagne-fetes-et-manifestations.csv;Autres Evènements#Insolite;Miscellaneous Events;misc
bretagne-fetes-et-manifestations.csv;Culturelle;;
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Danse#Musique#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Culturelle#Musique#Religieuse#Traditions et folklore, fêtes;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
