dataset;categorie_dataset;categorie_neutre;alias
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite#Son et Lumière;Musique et Son;musique
bretagne-fetes-et-manifestations.csv;Musique#Traditions et folklore, fêtes;Musique et Son;musique
bretagne-fetes-et-manifestations.csv;Nature et détente;Nature et Environnement;nature
bretagne-fetes-et-manifestations.csv;Culturelle#Manifestation commerciale;commerciale;commerciale
bretagne-fetes-et-manifestations.csv;Religieuse#Traditions et folklore, fêtes;Traditions et Folklore;folklore
bretagne-fetes-et-manifestations.csv;Autres Evènements;Autres;autres
bretagne-fetes-et-manifestations.csv;Autres Evènements#Culturelle;Culture et Arts;culture
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Insolite#Musique;Animations Locales;animations
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Manifestation commerciale#Sports et loisirs;Sports et Loisirs;sports
bretagne-fetes-et-manifestations.csv;Autres Evènements#Manifestation commerciale;Événements Commerciaux;commerciale
bretagne-fetes-et-manifestations.csv;Danse;Danse et Spectacle;danse
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Danse#Musique#Traditions et folklore, fêtes;Animations Locales;animations
bretagne-fetes-et-manifestations.csv;Culturelle#Musique#Traditions et folklore, fêtes;Musique et Son;musique
bretagne-fetes-et-manifestations.csv;Son et Lumière#Traditions et folklore, fêtes;Traditions et Folklore;folklore
bretagne-fetes-et-manifestations.csv;Culturelle#Sports et loisirs;Sports et Loisirs;sports
bretagne-fetes-et-manifestations.csv;Insolite#Traditions et folklore, fêtes;Traditions et Folklore;folklore
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Son et Lumière;Musique et Son;musique
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Insolite;Animations Locales;animations
bretagne-fetes-et-manifestations.csv;Culturelle#Insolite#Musique;Musique et Son;musique
bretagne-fetes-et-manifestations.csv;Culturelle#Musique;Musique et Son;musique
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Religieuse;Animations Locales;animations
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Traditions et folklore, fêtes;Traditions et Folklore;folklore
